tanggal,id,text,rt,fav,place,sent_score,sentiment
2022-08-23 23:42:50,1562223870467538944, hyang_wisnu kemkominfo bssn_ri platejohnny jokowi _pln_id indihome aryprasetyo85 cahaya_dfa zhymme co 3sjb0qtewz,0,1,,0,0
2022-08-23 23:41:59,1562223659535986944, hyang_wisnu data pln dan indihome bocor ini yang dilakukan kominfo kemkominfo akan segera mengeluarkan rekomendasi teknis untuk pen ,16,0,,-1,-1
2022-08-23 23:41:31,1562223542468775936,terkait kebocoran data pln dan indihome bocor kemkominfo panģgil manajemen pln co suudspnzfl,0,0,,-2,-1
2022-08-23 22:58:46,1562212781600177920, mmc_idn2 26 juta data pribadi diretas negara gagal menjaga privasi rakyat serba serbi mmc tersebar isu bahwa 26 juta riwayat penca ,57,0,,-1,-1
2022-08-23 22:57:33,1562212477093289984, republikaonline data pribadi pelanggan pt pln dan pt telkom indihome diduga bocor co avsw4otaq8,2,0,,-2,-1
2022-08-23 22:47:02,1562209829418311936, mmc_idn2 26 juta data pribadi diretas negara gagal menjaga privasi rakyat serba serbi mmc tersebar isu bahwa 26 juta riwayat penca ,57,0,,-1,-1
2022-08-23 22:45:06,1562209341486566912, hahahiheho halo min met pagi indihome kalau keluar asep gini ngaruh ya soalnya terus min takutnya data bocor mohon info ,2745,0,,-1,-1
2022-08-23 22:41:21,1562208398967734016, mmc_idn2 26 juta data pribadi diretas negara gagal menjaga privasi rakyat serba serbi mmc tersebar isu bahwa 26 juta riwayat penca ,57,0,,-1,-1
2022-08-23 22:37:21,1562207390778330880, hyang_wisnu data pln dan indihome bocor ini yang dilakukan kominfo kemkominfo akan segera mengeluarkan rekomendasi teknis untuk pen ,16,0,,-1,-1
2022-08-23 22:26:28,1562204655739843072, hyang_wisnu data pln dan indihome bocor kominfo lakukan ini kemkominfo akan segera mengeluarkan rekomendasi teknis untuk peningkata ,14,0,,-1,-1
2022-08-23 22:24:05,1562204052704079872, republikaonline data pribadi pelanggan pt pln dan pt telkom indihome diduga bocor co avsw4otaq8,2,0,,-2,-1
2022-08-23 22:16:11,1562202067489690112,data pribadi pelanggan pt pln dan pt telkom indihome diduga bocor co avsw4otaq8,2,1,,-2,-1
2022-08-23 22:13:25,1562201371134524928, aziz_ahh ndagels indihome udah lihat sample data yang bocor kalau itu dari cache engine kenapa indihome ngerecord nama pelanggan nik ,0,0,,-1,-1
